x,y,surface_elevation,bottom_depth,water_depth,timestamp,confidence
300105.24463,-950713.12731,-16.14759,-3.886073832107944,12.261516167892058,2025-08-23T09:49:53.485000,0.20769200106425023
300105.24447,-950713.12718,-16.14902,-3.886073832107944,12.262946167892057,2025-08-23T09:49:53.544999,0.20796001195786606
300105.24431,-950713.12706,-16.15017,-3.886073832107944,12.264096167892056,2025-08-23T09:49:53.605000,0.20822848303844127
300105.24415,-950713.12694,-16.15102,-3.886073832107944,12.264946167892056,2025-08-23T09:49:53.665000,0.2084976436932496
300105.244,-950713.12682,-16.15155,-3.886073832107944,12.265476167892057,2025-08-23T09:49:53.724000,0.2087627799334957
300105.24386,-950713.1267,-16.151799999999998,-3.886073832107944,12.265726167892055,2025-08-23T09:49:53.783999,0.20903259220792086
300105.24368,-950713.12651,-16.151809999999998,-3.886073832107944,12.265736167892054,2025-08-23T09:49:53.864000,0.20939392129330733
300105.24352,-950713.12631,-16.15167,-3.886073832107944,12.265596167892056,2025-08-23T09:49:53.944000,0.20975600047733636
300105.24341,-950713.12613,-16.1516,-3.886073832107944,12.265526167892055,2025-08-23T09:49:54.004000,0.210028734321394
300105.24322,-950713.12582,-16.15183,-3.886073832107944,12.265756167892057,2025-08-23T09:49:54.103999,0.21048533042642284
300105.24311,-950713.12562,-16.152269999999998,-3.886073832107944,12.266196167892055,2025-08-23T09:49:54.163999,0.21076041645378174
300105.243,-950713.12542,-16.15295,-3.886073832107944,12.266876167892057,2025-08-23T09:49:54.224000,0.21103621079587512
300105.24282,-950713.12509,-16.15447,-3.886073832107944,12.268396167892057,2025-08-23T09:49:54.324000,0.21149722563682566
300105.24271,-950713.1249,-16.15552,-3.886073832107944,12.269446167892056,2025-08-23T09:49:54.383999,0.21177466126655903
300105.24252,-950713.12461,-16.15726,-3.886073832107944,12.271186167892058,2025-08-23T09:49:54.483999,0.2122382717485779
300105.2424,-950713.12445,-16.1582,-3.886073832107944,12.272126167892058,2025-08-23T09:49:54.544000,0.21251730219399811
300105.24229,-950713.12431,-16.15904,-3.886073832107944,12.272966167892058,2025-08-23T09:49:54.603999,0.21279619065439065
300105.2421,-950713.1241,-16.16022,-3.886073832107944,12.274146167892056,2025-08-23T09:49:54.703999,0.21326233599861655
300105.24199,-950713.12397,-16.16087,-3.886073832107944,12.274796167892056,2025-08-23T09:49:54.762999,0.2135383793262305
300105.24187,-950713.12385,-16.16152,-3.886073832107944,12.275446167892056,2025-08-23T09:49:54.822999,0.21381985949422222
300105.24169,-950713.12365,-16.16272,-3.886073832107944,12.276646167892057,2025-08-23T09:49:54.923000,0.2142898586654866
300105.24154,-950713.12347,-16.16387,-3.886073832107944,12.277796167892056,2025-08-23T09:49:55.002999,0.21466804468170061
300105.24142,-950713.12333,-16.164849999999998,-3.886073832107944,12.278776167892055,2025-08-23T09:49:55.063000,0.21495297944222763
300105.2413,-950713.12318,-16.165879999999998,-3.886073832107944,12.279806167892055,2025-08-23T09:49:55.122999,0.21523889372332913
300105.2411,-950713.12291,-16.167569999999998,-3.886073832107944,12.281496167892055,2025-08-23T09:49:55.222999,0.21571757541224112
300105.24099,-950713.12275,-16.16848,-3.886073832107944,12.282406167892056,2025-08-23T09:49:55.283000,0.21600534949053873
300105.24082,-950713.12247,-16.169719999999998,-3.886073832107944,12.283646167892055,2025-08-23T09:49:55.383000,0.21648642229895054
300105.24073,-950713.12231,-16.17027,-3.886073832107944,12.284196167892055,2025-08-23T09:49:55.442999,0.21677539584225172
300105.24064,-950713.12216,-16.1707,-3.886073832107944,12.284626167892057,2025-08-23T09:49:55.502999,0.21706489919108587
300105.2405,-950713.12192,-16.1712,-3.886073832107944,12.285126167892056,2025-08-23T09:49:55.603000,0.21754846008398462
300105.24041,-950713.12178,-16.17146,-3.886073832107944,12.285386167892057,2025-08-23T09:49:55.663000,0.2178397695213883
300105.24026,-950713.12156,-16.171979999999998,-3.886073832107944,12.285906167892055,2025-08-23T09:49:55.762000,0.21832192565261643
300105.24016,-950713.12143,-16.17242,-3.886073832107944,12.286346167892056,2025-08-23T09:49:55.822000,0.21861547366526024
300105.23997,-950713.1212,-16.17342,-3.886073832107944,12.287346167892057,2025-08-23T09:49:55.921999,0.21910774707796873
300105.23985,-950713.12106,-16.17416,-3.886073832107944,12.288086167892057,2025-08-23T09:49:55.982000,0.2194044739726337
300105.23965,-950713.12086,-16.175259999999998,-3.886073832107944,12.289186167892055,2025-08-23T09:49:56.061999,0.21980334613652697
300105.23939,-950713.1206,-16.17666,-3.886073832107944,12.290586167892055,2025-08-23T09:49:56.161999,0.22030462652008198
300105.23913,-950713.12032,-16.17788,-3.886073832107944,12.291806167892055,2025-08-23T09:49:56.262000,0.22080863765065356
300105.23879,-950713.11993,-16.17906,-3.886073832107944,12.292986167892057,2025-08-23T09:49:56.402000,0.2215169923828565
300105.23856,-950713.11965,-16.17964,-3.886073832107944,12.293566167892056,2025-08-23T09:49:56.502000,0.2220251750903681
300105.23844,-950713.11948,-16.179959999999998,-3.886073832107944,12.293886167892055,2025-08-23T09:49:56.561999,0.22233043219951693
300105.23832,-950713.11931,-16.18031,-3.886073832107944,12.294236167892056,2025-08-23T09:49:56.622000,0.22263652129551986
300105.23811,-950713.11904,-16.181089999999998,-3.886073832107944,12.295016167892054,2025-08-23T09:49:56.722000,0.2231486489733339
300105.23798,-950713.11887,-16.181739999999998,-3.886073832107944,12.295666167892055,2025-08-23T09:49:56.781000,0.22345239868824993
300105.23775,-950713.1186,-16.18313,-3.886073832107944,12.297056167892055,2025-08-23T09:49:56.881000,0.2239691210848482
300105.23756,-950713.11838,-16.18441,-3.886073832107944,12.298336167892057,2025-08-23T09:49:56.961000,0.22438455187194292
300105.23734,-950713.11817,-16.18576,-3.886073832107944,12.299686167892055,2025-08-23T09:49:57.040999,0.2248026493838329
300105.23717,-950713.11802,-16.186709999999998,-3.886073832107944,12.300636167892055,2025-08-23T09:49:57.101000,0.22511731090770112
